trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
81,False,"{'a': 0.1, 'e': 0.19864885008204064}",25,0,-8.09164639527469,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
82,False,"{'a': 0.1, 'e': 0.19467587308039982}",20,8,19.60826210564941,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.1, 'e': 0.19078235561879184}",25,8,-35.008548285803606,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
84,False,"{'a': 0.1, 'e': 0.186966708506416}",20,9,8.405772245408379,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.1, 'e': 0.18322737433628766}",20,5,-8.281914158597976,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
86,False,"{'a': 0.1, 'e': 0.1795628268495619}",25,3,34.963813922246345,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.1, 'e': 0.17597157031257066}",20,7,3.1224476763847973,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
88,False,"{'a': 0.1, 'e': 0.17245213890631925}",25,13,21.13378468519437,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.1, 'e': 0.16900309612819286}",20,3,4.90979487320006,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.1, 'e': 0.16562303420562902}",20,4,11.313663088031962,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.1, 'e': 0.16231057352151643}",30,12,-35.82831192869331,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
92,False,"{'a': 0.1, 'e': 0.1590643620510861}",25,0,9.631249835076536,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
93,False,"{'a': 0.1, 'e': 0.15588307481006436}",25,0,-35.434219251258725,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
94,False,"{'a': 0.1, 'e': 0.15276541331386306}",25,0,9.341624275511078,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
95,False,"{'a': 0.1, 'e': 0.1497101050475858}",20,3,2.508185182735791,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
96,False,"{'a': 0.1, 'e': 0.14671590294663409}",25,19,8.702297816116245,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.1, 'e': 0.1437815848877014}",25,11,18.06487433587423,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.1, 'e': 0.1409059531899474}",30,22,14.27705962853729,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.1, 'e': 0.13808783412614842}",25,18,14.778185044851467,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.1, 'e': 0.13532607744362546}",20,13,13.54414501417636,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.1, 'e': 0.13261955589475294}",20,14,-2.1298373204643255,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.1, 'e': 0.12996716477685788}",20,0,32.477510852449,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
