trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
54,False,"{'a': 0.3, 'e': 0.7002847660410397}",25,0,-203.39385787895944,"{0: 12, 1: 5, 2: 3, 3: 2, 4: 3}",0
55,False,"{'a': 0.3, 'e': 0.6894984329517471}",20,0,-25.032981537910395,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",1
56,False,"{'a': 0.3, 'e': 0.6785569656238399}",20,0,-96.75147739784438,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
57,False,"{'a': 0.3, 'e': 0.6674628258413081}",20,0,-141.2233046076889,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
58,False,"{'a': 0.3, 'e': 0.6562185097387998}",25,15,-9.185367463746873,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
59,False,"{'a': 0.3, 'e': 0.6448265472400012}",25,0,-41.84544477965769,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
60,False,"{'a': 0.3, 'e': 0.6332895014884152}",25,9,-74.34071418616223,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 2}",1
61,False,"{'a': 0.3, 'e': 0.6216099682706645}",30,16,-2.0497631726583716,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
62,False,"{'a': 0.3, 'e': 0.6097905754324502}",30,11,1.7129908818676747,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
63,False,"{'a': 0.3, 'e': 0.5978339822872983}",30,22,14.715430224780878,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.3, 'e': 0.5857428790182249}",25,0,-100.37671910615221,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
65,False,"{'a': 0.3, 'e': 0.5735199860724567}",20,11,-48.293759318184044,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
66,False,"{'a': 0.3, 'e': 0.5611680535493414}",30,15,-0.3205149504412097,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
67,False,"{'a': 0.3, 'e': 0.5486898605815875}",20,0,-80.54383063555582,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",1
68,False,"{'a': 0.3, 'e': 0.5360882147099709}",20,0,-118.19545033611281,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
69,False,"{'a': 0.3, 'e': 0.5233659512516495}",25,9,-50.7116701549764,"{0: 9, 1: 3, 2: 3, 3: 1, 4: 0}",1
70,False,"{'a': 0.3, 'e': 0.5105259326622302}",25,10,-5.964627231634778,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
71,False,"{'a': 0.3, 'e': 0.49757104789172696}",20,2,-52.750774218044945,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 1}",1
72,False,"{'a': 0.3, 'e': 0.48450421173456026}",20,13,13.31540913101649,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.3, 'e': 0.47132836417373997}",20,0,2.6506755075026707,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
